tanggal,bulan,tahun,komoditi,satuan,harga
26,november,2018,"Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket)",Kg,"93,333"
27,november,2018,"Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket)",Kg,"90,000"
28,november,2018,"Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket)",Kg,"100,000"
29,november,2018,"Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket)",Kg,"100,000"
30,november,2018,"Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket)",Kg,"93,333"
1,november,2018,"Daging Sapi, Lokal, Daging, Tetelan",Kg,"61,667"
2,november,2018,"Daging Sapi, Lokal, Daging, Tetelan",Kg,"60,000"
5,november,2018,"Daging Sapi, Lokal, Daging, Tetelan",Kg,"66,667"
6,november,2018,"Daging Sapi, Lokal, Daging, Tetelan",Kg,"63,333"
7,november,2018,"Daging Sapi, Lokal, Daging, Tetelan",Kg,"76,667"
8,november,2018,"Daging Sapi, Lokal, Daging, Tetelan",Kg,"63,333"
9,november,2018,"Daging Sapi, Lokal, Daging, Tetelan",Kg,"65,000"
12,november,2018,"Daging Sapi, Lokal, Daging, Tetelan",Kg,"63,333"
13,november,2018,"Daging Sapi, Lokal, Daging, Tetelan",Kg,"65,000"
14,november,2018,"Daging Sapi, Lokal, Daging, Tetelan",Kg,"73,333"
15,november,2018,"Daging Sapi, Lokal, Daging, Tetelan",Kg,"68,333"
16,november,2018,"Daging Sapi, Lokal, Daging, Tetelan",Kg,"64,167"
19,november,2018,"Daging Sapi, Lokal, Daging, Tetelan",Kg,"61,667"
21,november,2018,"Daging Sapi, Lokal, Daging, Tetelan",Kg,"67,500"
22,november,2018,"Daging Sapi, Lokal, Daging, Tetelan",Kg,"68,333"
23,november,2018,"Daging Sapi, Lokal, Daging, Tetelan",Kg,"62,500"
26,november,2018,"Daging Sapi, Lokal, Daging, Tetelan",Kg,"63,333"
27,november,2018,"Daging Sapi, Lokal, Daging, Tetelan",Kg,"60,000"
28,november,2018,"Daging Sapi, Lokal, Daging, Tetelan",Kg,"62,500"
29,november,2018,"Daging Sapi, Lokal, Daging, Tetelan",Kg,"71,667"
30,november,2018,"Daging Sapi, Lokal, Daging, Tetelan",Kg,"63,333"
1,november,2018,"Daging Sapi, Impor, Beku",Kg,"88,350"
2,november,2018,"Daging Sapi, Impor, Beku",Kg,"88,350"
5,november,2018,"Daging Sapi, Impor, Beku",Kg,"88,350"
6,november,2018,"Daging Sapi, Impor, Beku",Kg,"88,350"
7,november,2018,"Daging Sapi, Impor, Beku",Kg,"88,350"
8,november,2018,"Daging Sapi, Impor, Beku",Kg,"88,350"
9,november,2018,"Daging Sapi, Impor, Beku",Kg,"88,350"
12,november,2018,"Daging Sapi, Impor, Beku",Kg,"88,350"
13,november,2018,"Daging Sapi, Impor, Beku",Kg,"89,150"
14,november,2018,"Daging Sapi, Impor, Beku",Kg,"89,150"
15,november,2018,"Daging Sapi, Impor, Beku",Kg,"89,150"
16,november,2018,"Daging Sapi, Impor, Beku",Kg,"89,150"
19,november,2018,"Daging Sapi, Impor, Beku",Kg,"89,150"
21,november,2018,"Daging Sapi, Impor, Beku",Kg,"89,150"
22,november,2018,"Daging Sapi, Impor, Beku",Kg,"90,000"
23,november,2018,"Daging Sapi, Impor, Beku",Kg,"90,000"
26,november,2018,"Daging Sapi, Impor, Beku",Kg,"90,000"
27,november,2018,"Daging Sapi, Impor, Beku",Kg,"90,000"
28,november,2018,"Daging Sapi, Impor, Beku",Kg,"90,000"
29,november,2018,"Daging Sapi, Impor, Beku",Kg,"90,000"
30,november,2018,"Daging Sapi, Impor, Beku",Kg,"90,000"
1,november,2018,"Daging Sapi, Lokal, Has Dalam",Kg,"143,333"
2,november,2018,"Daging Sapi, Lokal, Has Dalam",Kg,"143,333"
5,november,2018,"Daging Sapi, Lokal, Has Dalam",Kg,"143,333"
6,november,2018,"Daging Sapi, Lokal, Has Dalam",Kg,"143,333"
7,november,2018,"Daging Sapi, Lokal, Has Dalam",Kg,"148,333"
8,november,2018,"Daging Sapi, Lokal, Has Dalam",Kg,"143,333"
9,november,2018,"Daging Sapi, Lokal, Has Dalam",Kg,"146,667"
12,november,2018,"Daging Sapi, Lokal, Has Dalam",Kg,"146,667"
13,november,2018,"Daging Sapi, Lokal, Has Dalam",Kg,"143,333"
14,november,2018,"Daging Sapi, Lokal, Has Dalam",Kg,"143,333"
15,november,2018,"Daging Sapi, Lokal, Has Dalam",Kg,"145,000"
16,november,2018,"Daging Sapi, Lokal, Has Dalam",Kg,"143,333"
19,november,2018,"Daging Sapi, Lokal, Has Dalam",Kg,"145,000"
21,november,2018,"Daging Sapi, Lokal, Has Dalam",Kg,"143,333"
22,november,2018,"Daging Sapi, Lokal, Has Dalam",Kg,"143,333"
