TANGGAL;KOMODITI;SATUAN;HARGA;;;;;;
11/01/2018;Ayam Kampung;ekor;79250;;;;;;
11/01/2018;Daging Sapi Lokal Daging Tetelan;Kg;70000;;;;;;
11/01/2018;Cabai Rawit Merah;Kg;53660;;;;;;
11/01/2018;Cabai Merah Keriting;Kg;46860;;;;;;
11/01/2018;Susu Bubuk Kaleng Merk Bendera;buah;44167;;;;;;
11/01/2018;Susu Bubuk Kaleng Merk Indomilk;buah;42400;;;;;;
11/01/2018;Cabai Merah Besar;Kg;42340;;;;;;
11/01/2018;Ayam Boiler;ekor;38260;;;;;;
11/01/2018;Ikan Kembung;Kg;37660;;;;;;
11/01/2018;Cabai Rawit Hijau;Kg;37040;;;;;;
11/01/2018;Bawang Putih Impor (Honan);Kg;28500;;;;;;
11/01/2018;Bawang Putih Impor (Kating);Kg;27940;;;;;;
11/01/2018;Bawang Merah (Medium);Kg;27340;;;;;;
11/01/2018;Telur Ayam Ras;Kg;25900;;;;;;
11/01/2018;Kacang Tanah;Kg;25500;;;;;;
11/01/2018;Kacang Hijau;Kg;22940;;;;;;
11/01/2018;Jagung Pipilan Kecil;Kg;15500;;;;;;
11/01/2018;Gula Pasir;Kg;13600;;;;;;
11/01/2018;Minyak Goreng Bimoli Botol;Liter;13340;;;;;;
11/01/2018;Kacang Kedelai Eks impor;Kg;12500;;;;;;
11/01/2018;Minyak Goreng Curah;Liter;12363;;;;;;
11/01/2018;Susu Kental Manis Kaleng Merk Bendera;buah;11660;;;;;;
11/01/2018;Beras Medium;Kg;11620;;;;;;
11/01/2018;Garam Beryodium Halus;Kg;11460;;;;;;
11/01/2018;Susu Kental Manis Kaleng Merk Indomilk;buah;10300;;;;;;
11/01/2018;Tepung Terigu Segitiga Biru;Kg;10000;;;;;;
11/01/2018;Ketela Pohon;Kg;4800;;;;;;
11/01/2018;Garam Beryodium Bata;250 gr;3920;;;;;;
11/01/2018;Kacang Kedelai Lokal;Kg;3667;;;;;;
11/01/2018;Mie Instan Indomie Rasa Kari Ayam;buah;2360;;;;;;
11/01/2018;Telur Ayam Kampung;butir;2110;;;;;;
12/01/2018;Daging Sapi Lokal Has Dalam;Kg;142500;;;;;;
12/01/2018;Daging Sapi Impor Beku;Kg;120000;;;;;;
