TANGGAL,KOMODITI,HARGA
15/01/2018,Susu Kental Manis Kaleng Merk Indomilk,10700
15/01/2018,Susu Bubuk Kaleng Merk Bendera,44667
15/01/2018,Susu Bubuk Kaleng Merk Indomilk,43067
15/01/2018,Jagung Pipilan Kecil,15567
15/01/2018,Garam Beryodium Bata,3780
15/01/2018,Garam Beryodium Halus,13100
15/01/2018,Tepung Terigu Segitiga Biru,10040
15/01/2018,Kacang Kedelai Eks impor,12050
15/01/2018,Kacang Kedelai Lokal,3667
15/01/2018,Mie Instan Indomie Rasa Kari Ayam,2400
15/01/2018,Cabe Merah Keriting,44140
15/01/2018,Cabe Merah Besar,41040
15/01/2018,Cabe Rawit Merah,56740
15/01/2018,Cabe Rawit Hijau,42400
15/01/2018,Bawang Merah (Medium),27600
15/01/2018,Bawang Putih Impor (Kating),28960
15/01/2018,Bawang Putih Impor (Honan),25500
15/01/2018,Ikan Teri Asin,107660
15/01/2018,Ikan Kembung,37800
15/01/2018,Kacang Hijau,22660
15/01/2018,Kacang Tanah,25360
15/01/2018,Ketela Pohon,4740
16/01/2018,Beras,12260
16/01/2018,Gula Pasir,13860
16/01/2018,Minyak Goreng Bimoli Botol,13490
16/01/2018,Minyak Goreng Curah,12500
16/01/2018,Daging Sapi, Lokal, Paha Belakang,119660
16/01/2018,Daging Sapi, Lokal, Daging, Has Luar (Sirloin),121667
16/01/2018,Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket),98333
16/01/2018,Daging Sapi, Lokal, Daging, Tetelan,80000
16/01/2018,Daging Sapi, Impor, Beku,120000
16/01/2018,Daging Sapi, Lokal, Has Dalam,148333
16/01/2018,Ayam Boiler,37140
16/01/2018,Ayam Kampung,81233
16/01/2018,Telur Ayam Ras,25400
16/01/2018,Telur Ayam Kampung,1980
16/01/2018,Susu Kental Manis Kaleng Merk Bendera,12460
16/01/2018,Susu Kental Manis Kaleng Merk Indomilk,10700
16/01/2018,Susu Bubuk Kaleng Merk Bendera,44100
16/01/2018,Susu Bubuk Kaleng Merk Indomilk,42433
16/01/2018,Jagung Pipilan Kecil,15100
16/01/2018,Garam Beryodium Bata,3220
16/01/2018,Garam Beryodium Halus,10900
16/01/2018,Tepung Terigu Segitiga Biru,10040
16/01/2018,Kacang Kedelai Eks impor,12050
16/01/2018,Kacang Kedelai Lokal,4000
16/01/2018,Mie Instan Indomie Rasa Kari Ayam,2380
16/01/2018,Cabe Merah Keriting,44860
16/01/2018,Cabe Merah Besar,41360
16/01/2018,Cabe Rawit Merah,54260
16/01/2018,Cabe Rawit Hijau,38200
16/01/2018,Bawang Merah (Medium),25940
16/01/2018,Bawang Putih Impor (Kating),28840
16/01/2018,Bawang Putih Impor (Honan),27500
16/01/2018,Ikan Teri Asin,105940
16/01/2018,Ikan Kembung,36660
16/01/2018,Kacang Hijau,22740
16/01/2018,Kacang Tanah,25100
16/01/2018,Ketela Pohon,4800
17/01/2018,Beras,11710
17/01/2018,Gula Pasir,13560
17/01/2018,Minyak Goreng Bimoli Botol,13490
17/01/2018,Minyak Goreng Curah,12500
17/01/2018,Daging Sapi, Lokal, Paha Belakang,119660
17/01/2018,Daging Sapi, Lokal, Daging, Has Luar (Sirloin),120000
17/01/2018,Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket),90000
17/01/2018,Daging Sapi, Lokal, Daging, Tetelan,90000
17/01/2018,Daging Sapi, Impor, Beku,120000
17/01/2018,Daging Sapi, Lokal, Has Dalam,146667
17/01/2018,Ayam Boiler,37540
17/01/2018,Ayam Kampung,79675
17/01/2018,Telur Ayam Ras,24900
17/01/2018,Telur Ayam Kampung,2020
17/01/2018,Susu Kental Manis Kaleng Merk Bendera,12760
17/01/2018,Susu Kental Manis Kaleng Merk Indomilk,10700
17/01/2018,Susu Bubuk Kaleng Merk Bendera,44100
17/01/2018,Susu Bubuk Kaleng Merk Indomilk,42433
17/01/2018,Jagung Pipilan Kecil,15100
17/01/2018,Garam Beryodium Bata,3420
17/01/2018,Garam Beryodium Halus,11100
17/01/2018,Tepung Terigu Segitiga Biru,9440
17/01/2018,Kacang Kedelai Eks impor,11675
17/01/2018,Kacang Kedelai Lokal,4000
17/01/2018,Mie Instan Indomie Rasa Kari Ayam,2380
17/01/2018,Cabe Merah Keriting,42860
17/01/2018,Cabe Merah Besar,40860
17/01/2018,Cabe Rawit Merah,53260
17/01/2018,Cabe Rawit Hijau,42200
17/01/2018,Bawang Merah (Medium),24140
17/01/2018,Bawang Putih Impor (Kating),27340
17/01/2018,Bawang Putih Impor (Honan),22500
17/01/2018,Ikan Teri Asin,103940
17/01/2018,Ikan Kembung,35660
17/01/2018,Kacang Hijau,21740
17/01/2018,Kacang Tanah,24700
17/01/2018,Ketela Pohon,4800
18/01/2018,Beras,10663
18/01/2018,Gula Pasir,13540
18/01/2018,Minyak Goreng Bimoli Botol,13560
18/01/2018,Minyak Goreng Curah,12613
18/01/2018,Daging Sapi, Lokal, Paha Belakang,119660
18/01/2018,Daging Sapi, Lokal, Daging, Has Luar (Sirloin),121667
18/01/2018,Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket),93333
18/01/2018,Daging Sapi, Lokal, Daging, Tetelan,83333
18/01/2018,Daging Sapi, Impor, Beku,70000
18/01/2018,Daging Sapi, Lokal, Has Dalam,131667
18/01/2018,Ayam Boiler,37240
18/01/2018,Ayam Kampung,74250
18/01/2018,Telur Ayam Ras,24000
18/01/2018,Telur Ayam Kampung,2100
18/01/2018,Susu Kental Manis Kaleng Merk Bendera,11790
18/01/2018,Susu Kental Manis Kaleng Merk Indomilk,10140
18/01/2018,Susu Bubuk Kaleng Merk Bendera,43667
18/01/2018,Susu Bubuk Kaleng Merk Indomilk,42433
18/01/2018,Jagung Pipilan Kecil,15500
18/01/2018,Garam Beryodium Bata,3510
18/01/2018,Garam Beryodium Halus,11960
18/01/2018,Tepung Terigu Segitiga Biru,10240
18/01/2018,Kacang Kedelai Eks impor,12550
18/01/2018,Kacang Kedelai Lokal,11000
18/01/2018,Mie Instan Indomie Rasa Kari Ayam,2400
18/01/2018,Cabe Merah Keriting,48200
18/01/2018,Cabe Merah Besar,46040
18/01/2018,Cabe Rawit Merah,53760
18/01/2018,Cabe Rawit Hijau,42760
18/01/2018,Bawang Merah (Medium),25940
18/01/2018,Bawang Putih Impor (Kating),28200
18/01/2018,Bawang Putih Impor (Honan),22500
18/01/2018,Ikan Teri Asin,108040
18/01/2018,Ikan Kembung,38860
18/01/2018,Kacang Hijau,23040
18/01/2018,Kacang Tanah,24700
18/01/2018,Ketela Pohon,4800
19/01/2018,Beras,10925
19/01/2018,Gula Pasir,13660
19/01/2018,Minyak Goreng Bimoli Botol,13410
19/01/2018,Minyak Goreng Curah,12300
19/01/2018,Daging Sapi, Lokal, Paha Belakang,117660
19/01/2018,Daging Sapi, Lokal, Daging, Has Luar (Sirloin),116667
19/01/2018,Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket),91667
19/01/2018,Daging Sapi, Lokal, Daging, Tetelan,70000
19/01/2018,Daging Sapi, Impor, Beku,70000
19/01/2018,Daging Sapi, Lokal, Has Dalam,148333
19/01/2018,Ayam Boiler,38140
19/01/2018,Ayam Kampung,80667
19/01/2018,Telur Ayam Ras,23960
19/01/2018,Telur Ayam Kampung,2090
19/01/2018,Susu Kental Manis Kaleng Merk Bendera,12460
19/01/2018,Susu Kental Manis Kaleng Merk Indomilk,10140
19/01/2018,Susu Bubuk Kaleng Merk Bendera,44100
19/01/2018,Susu Bubuk Kaleng Merk Indomilk,42567
19/01/2018,Jagung Pipilan Kecil,15500
19/01/2018,Garam Beryodium Bata,3360
19/01/2018,Garam Beryodium Halus,10600
19/01/2018,Tepung Terigu Segitiga Biru,9800
19/01/2018,Kacang Kedelai Eks impor,12050
19/01/2018,Kacang Kedelai Lokal,11500
19/01/2018,Mie Instan Indomie Rasa Kari Ayam,2380
19/01/2018,Cabe Merah Keriting,42000
19/01/2018,Cabe Merah Besar,45540
19/01/2018,Cabe Rawit Merah,54800
19/01/2018,Cabe Rawit Hijau,43440
19/01/2018,Bawang Merah (Medium),26360
19/01/2018,Bawang Putih Impor (Kating),28600
19/01/2018,Bawang Putih Impor (Honan),27500
19/01/2018,Ikan Teri Asin,108800
19/01/2018,Ikan Kembung,36660
19/01/2018,Kacang Hijau,21800
19/01/2018,Kacang Tanah,24700
19/01/2018,Ketela Pohon,4740
22/01/2018,Beras,11038
22/01/2018,Gula Pasir,13750
22/01/2018,Minyak Goreng Bimoli Botol,13500
22/01/2018,Minyak Goreng Curah,12875
22/01/2018,Daging Sapi, Lokal, Paha Belakang,119660
22/01/2018,Daging Sapi, Lokal, Daging, Has Luar (Sirloin),120000
22/01/2018,Daging Sapi, Lokal, Daging, Sandung Lamur (Brisket),96667
22/01/2018,Daging Sapi, Lokal, Daging, Tetelan,66667
22/01/2018,Daging Sapi, Impor, Beku,85000
22/01/2018,Daging Sapi, Lokal, Has Dalam,150000
22/01/2018,Ayam Boiler,37940
22/01/2018,Ayam Kampung,80075
22/01/2018,Telur Ayam Ras,23800
22/01/2018,Telur Ayam Kampung,2060
22/01/2018,Susu Kental Manis Kaleng Merk Bendera,11940
22/01/2018,Susu Kental Manis Kaleng Merk Indomilk,10340
22/01/2018,Susu Bubuk Kaleng Merk Bendera,44100
22/01/2018,Susu Bubuk Kaleng Merk Indomilk,42567
