TANGGAL,KOMODITI,SATUAN,HARGA
08/05/2018,Daging Sapi, Lokal, Has Dalam,Kg,146667
09/05/2018,Daging Sapi, Lokal, Has Dalam,Kg,148333
11/05/2018,Daging Sapi, Lokal, Has Dalam,Kg,150000
14/05/2018,Daging Sapi, Lokal, Has Dalam,Kg,150000
15/05/2018,Daging Sapi, Lokal, Has Dalam,Kg,146667
16/05/2018,Daging Sapi, Lokal, Has Dalam,Kg,145833
17/05/2018,Daging Sapi, Lokal, Has Dalam,Kg,145000
18/05/2018,Daging Sapi, Lokal, Has Dalam,Kg,146667
21/05/2018,Daging Sapi, Lokal, Has Dalam,Kg,153333
22/05/2018,Daging Sapi, Lokal, Has Dalam,Kg,145000
23/05/2018,Daging Sapi, Lokal, Has Dalam,Kg,150000
24/05/2018,Daging Sapi, Lokal, Has Dalam,Kg,111250
25/05/2018,Daging Sapi, Lokal, Has Dalam,Kg,151667
28/05/2018,Daging Sapi, Lokal, Has Dalam,Kg,148333
30/05/2018,Daging Sapi, Lokal, Has Dalam,Kg,150000
31/05/2018,Daging Sapi, Lokal, Has Dalam,Kg,148333
02/05/2018,Ayam Boiler,ekor,38260
03/05/2018,Ayam Boiler,ekor,38060
04/05/2018,Ayam Boiler,ekor,38260
07/05/2018,Ayam Boiler,ekor,37660
08/05/2018,Ayam Boiler,ekor,37860
09/05/2018,Ayam Boiler,ekor,38660
11/05/2018,Ayam Boiler,ekor,38060
14/05/2018,Ayam Boiler,ekor,37300
15/05/2018,Ayam Boiler,ekor,41100
16/05/2018,Ayam Boiler,ekor,39900
17/05/2018,Ayam Boiler,ekor,43000
18/05/2018,Ayam Boiler,ekor,40160
21/05/2018,Ayam Boiler,ekor,39940
22/05/2018,Ayam Boiler,ekor,40440
23/05/2018,Ayam Boiler,ekor,38240
24/05/2018,Ayam Boiler,ekor,38360
25/05/2018,Ayam Boiler,ekor,40160
28/05/2018,Ayam Boiler,ekor,39560
30/05/2018,Ayam Boiler,ekor,38660
31/05/2018,Ayam Boiler,ekor,35940
02/05/2018,Ayam Kampung,ekor,80825
03/05/2018,Ayam Kampung,ekor,81100
04/05/2018,Ayam Kampung,ekor,81100
07/05/2018,Ayam Kampung,ekor,87075
08/05/2018,Ayam Kampung,ekor,87767
09/05/2018,Ayam Kampung,ekor,85825
11/05/2018,Ayam Kampung,ekor,87767
14/05/2018,Ayam Kampung,ekor,85825
15/05/2018,Ayam Kampung,ekor,85825
16/05/2018,Ayam Kampung,ekor,88325
17/05/2018,Ayam Kampung,ekor,87767
18/05/2018,Ayam Kampung,ekor,89433
21/05/2018,Ayam Kampung,ekor,88325
22/05/2018,Ayam Kampung,ekor,87075
23/05/2018,Ayam Kampung,ekor,89433
24/05/2018,Ayam Kampung,ekor,84175
25/05/2018,Ayam Kampung,ekor,97925
28/05/2018,Ayam Kampung,ekor,105567
30/05/2018,Ayam Kampung,ekor,88900
31/05/2018,Ayam Kampung,ekor,83325
02/05/2018,Telur Ayam Ras,Kg,23500
03/05/2018,Telur Ayam Ras,Kg,23600
04/05/2018,Telur Ayam Ras,Kg,24100
07/05/2018,Telur Ayam Ras,Kg,24300
08/05/2018,Telur Ayam Ras,Kg,25300
09/05/2018,Telur Ayam Ras,Kg,25900
11/05/2018,Telur Ayam Ras,Kg,26100
14/05/2018,Telur Ayam Ras,Kg,26200
15/05/2018,Telur Ayam Ras,Kg,26100
16/05/2018,Telur Ayam Ras,Kg,25800
17/05/2018,Telur Ayam Ras,Kg,26100
18/05/2018,Telur Ayam Ras,Kg,26000
21/05/2018,Telur Ayam Ras,Kg,25860
22/05/2018,Telur Ayam Ras,Kg,25760
23/05/2018,Telur Ayam Ras,Kg,26160
24/05/2018,Telur Ayam Ras,Kg,25560
25/05/2018,Telur Ayam Ras,Kg,25760
28/05/2018,Telur Ayam Ras,Kg,25760
30/05/2018,Telur Ayam Ras,Kg,25360
31/05/2018,Telur Ayam Ras,Kg,24760
02/05/2018,Telur Ayam Kampung,butir,2280
03/05/2018,Telur Ayam Kampung,butir,2370
04/05/2018,Telur Ayam Kampung,butir,2380
07/05/2018,Telur Ayam Kampung,butir,2480
08/05/2018,Telur Ayam Kampung,butir,2200
09/05/2018,Telur Ayam Kampung,butir,2240
11/05/2018,Telur Ayam Kampung,butir,2490
14/05/2018,Telur Ayam Kampung,butir,2400
15/05/2018,Telur Ayam Kampung,butir,2400
16/05/2018,Telur Ayam Kampung,butir,2180
17/05/2018,Telur Ayam Kampung,butir,2250
18/05/2018,Telur Ayam Kampung,butir,3750
21/05/2018,Telur Ayam Kampung,butir,2310
22/05/2018,Telur Ayam Kampung,butir,2310
23/05/2018,Telur Ayam Kampung,butir,2460
24/05/2018,Telur Ayam Kampung,butir,2220
25/05/2018,Telur Ayam Kampung,butir,2240
28/05/2018,Telur Ayam Kampung,butir,2290
30/05/2018,Telur Ayam Kampung,butir,2270
31/05/2018,Telur Ayam Kampung,butir,2280
02/05/2018,Susu Kental Manis Kaleng Merk Bendera,buah,12000
03/05/2018,Susu Kental Manis Kaleng Merk Bendera,buah,11900
