tanggal ,komoditi,satuan,harga
2018-10-11,Telur Ayam Ras,Kg,22740
2018-10-12,Telur Ayam Ras,Kg,22340
2018-10-15,Telur Ayam Ras,Kg,22640
2018-10-16,Telur Ayam Ras,Kg,22640
2018-10-17,Telur Ayam Ras,Kg,22440
2018-10-18,Telur Ayam Ras,Kg,22240
2018-10-19,Telur Ayam Ras,Kg,22240
2018-10-22,Telur Ayam Ras,Kg,22340
2018-10-23,Telur Ayam Ras,Kg,22440
2018-10-24,Telur Ayam Ras,Kg,22240
2018-10-25,Telur Ayam Ras,Kg,22040
2018-10-26,Telur Ayam Ras,Kg,21940
2018-10-29,Telur Ayam Ras,Kg,21940
2018-10-30,Telur Ayam Ras,Kg,21800
2018-10-31,Telur Ayam Ras,Kg,21700
2018-10-01,Telur Ayam Kampung,butir,2230
2018-10-02,Telur Ayam Kampung,butir,2320
2018-10-03,Telur Ayam Kampung,butir,2260
2018-10-04,Telur Ayam Kampung,butir,2240
2018-10-05,Telur Ayam Kampung,butir,2320
2018-10-08,Telur Ayam Kampung,butir,2280
2018-10-09,Telur Ayam Kampung,butir,2410
2018-10-10,Telur Ayam Kampung,butir,2370
2018-10-11,Telur Ayam Kampung,butir,2360
2018-10-12,Telur Ayam Kampung,butir,2290
2018-10-15,Telur Ayam Kampung,butir,2350
2018-10-16,Telur Ayam Kampung,butir,2320
2018-10-17,Telur Ayam Kampung,butir,2210
2018-10-18,Telur Ayam Kampung,butir,2310
2018-10-19,Telur Ayam Kampung,butir,2370
2018-10-22,Telur Ayam Kampung,butir,2320
2018-10-23,Telur Ayam Kampung,butir,2320
2018-10-24,Telur Ayam Kampung,butir,2290
2018-10-25,Telur Ayam Kampung,butir,2360
2018-10-26,Telur Ayam Kampung,butir,2390
2018-10-29,Telur Ayam Kampung,butir,2260
2018-10-30,Telur Ayam Kampung,butir,2230
2018-10-31,Telur Ayam Kampung,butir,2260
2018-10-01,Susu Kental Manis Kaleng Merk Bendera,buah,11900
2018-10-02,Susu Kental Manis Kaleng Merk Bendera,buah,11400
2018-10-03,Susu Kental Manis Kaleng Merk Bendera,buah,11300
2018-10-04,Susu Kental Manis Kaleng Merk Bendera,buah,11300
